zip3,month,cumulative,lat,lon
750,2023-11-01 00:00:00,5243130070.369998,33.224514952448025,-96.72806492462394
750,2023-12-01 00:00:00,5360370198.259997,33.224514952448025,-96.72806492462394
750,2024-01-01 00:00:00,5482232221.189998,33.224514952448025,-96.72806492462394
750,2024-02-01 00:00:00,5602367146.459997,33.224514952448025,-96.72806492462394
750,2024-03-01 00:00:00,5724617183.339997,33.224514952448025,-96.72806492462394
750,2024-04-01 00:00:00,5848329999.6399975,33.224514952448025,-96.72806492462394
750,2024-05-01 00:00:00,5971853269.769998,33.224514952448025,-96.72806492462394
750,2024-06-01 00:00:00,6084229581.649998,33.224514952448025,-96.72806492462394
750,2024-07-01 00:00:00,6203507259.239998,33.224514952448025,-96.72806492462394
750,2024-08-01 00:00:00,6325006881.029998,33.224514952448025,-96.72806492462394
